business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month,MA,formatted_name,formatted_address
74756,EASY BREEZY FROZEN YOGURT,718 IRVING ST ,San Francisco,CA,94122,,,14155053351,98.0,2017-06-30,routine,2017.0,6.0,94.0,EASY BREEZY,718 IRVING
94555,EASY BREEZY FROZEN YOGURT,44 WEST PORTAL AVE ,San Francisco,CA,94127,,,14155053351,96.0,2018-06-01,routine,2018.0,6.0,97.0,EASY BREEZY,44 WEST
6802,EASY MONEY,2312 IRVING ST ,San Francisco,CA,94122,37.76338,-122.482647,14157313538,100.0,2017-10-10,routine,2017.0,10.0,100.0,EASY MONEY,2312 IRVING
95537,EAT SUSHI,1516 FOLSOM ST ,San Francisco,CA,94103,,,,90.0,2018-05-11,routine,2018.0,5.0,90.0,EAT SUSHI,1516 FOLSOM
88153,EBBETT'S GOOD TO GO, OFF THE GRID  ,San Francisco,CA,,,,14155869958,96.0,2016-12-13,routine,2016.0,12.0,96.0,EBBETT'S GOOD,OFF THE
1959,EBISU RESTAURANT,1283 09TH AVE ,San Francisco,CA,94122,37.758941,-122.48591,14155661770,87.0,2018-01-30,routine,2018.0,1.0,86.0,EBISU RESTAURANT,1283 09TH
77913,ECLECTIC COOKERY,101 HORNE AVE ,San Francisco,CA,,,,14158228788,96.0,2017-08-30,routine,2017.0,8.0,94.0,ECLECTIC COOKERY,101 HORNE
90272,"ECLECTIC COOKERY, INC",103 HORNE AVE.,San Francisco,CA,94124,,,14158228788,80.0,2017-11-28,routine,2017.0,11.0,80.0,"ECLECTIC COOKERY,",103 HORNE
75991,"ECLECTIC COOKERY, INC.",1040 REVERE AVE #2,San Francisco,CA,94124,,,14158228788,92.0,2017-01-24,routine,2017.0,1.0,95.0,"ECLECTIC COOKERY,",1040 REVERE
3519,ECLIPSE CAFE,5 EMBARCADERO CENTER  ,San Francisco,CA,94111,37.794168,-122.39645700000001,14157881234,100.0,2017-07-11,routine,2017.0,7.0,100.0,ECLIPSE CAFE,5 EMBARCADERO
