accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"741 Anderson St, San Francisco, CA 94110, USA",ChIJ177pyvd-j4ARnzFJpWxe1tw,741 Anderson St St,37.7340981,-122.4155237,1,94110,OK,premise
ROOFTOP,"3441 Mission St, San Francisco, CA 94110, USA",ChIJYdSFPl1-j4AR5InvT6iz_dc,3441 Mission St,37.7415851,-122.4223382,1,94110,OK,street_address
ROOFTOP,"2011 Bayshore Blvd, San Francisco, CA 94124, USA",ChIJu4EpHCd_j4ARPvFHmv3RwkU,2011 Bayshore Blvd,37.7149697,-122.3987871,2,94124,OK,street_address
ROOFTOP,"1881 Geary Blvd, San Francisco, CA 94115, USA",ChIJl33wyLmAhYAR8SC4ECGPtBg,1881 Geary Blvd,37.7837501,-122.4342376,1,94115,OK,street_address
ROOFTOP,"4285 Mission St, San Francisco, CA 94112, USA",ChIJTWMikYl-j4ARXkOd_GHGpuQ,4285 Mission St,37.7289105,-122.4307323,1,94112,OK,premise
ROOFTOP,"1221 Polk St, San Francisco, CA 94109, USA",ChIJ93q5W5SAhYARarBymn3Ik4Q,1221 Polk St,37.7881417,-122.4203423,5,94109,OK,street_address
ROOFTOP,"2026 Irving St, San Francisco, CA 94122, USA",ChIJR3Mx7m-HhYARPcZaD8MWuhg,2026 Irving St,37.7636478,-122.4798127,1,94122,OK,premise
ROOFTOP,"1659 Divisadero St, San Francisco, CA 94115, USA",ChIJjff048mAhYAR8bTNlvT6Lj8,1659 Divisadero St,37.7850815,-122.4400443,2,94115,OK,street_address
ROOFTOP,"300 19th St, Ocean City, NJ 08226, USA",ChIJ293XlVeVwIkRSMcwG3Zadss,300 19th Ave,39.2684837,-74.5913846,1,8226,OK,premise
ROOFTOP,"1812 Divisadero St, San Francisco, CA 94115, USA",ChIJEVjnlsmAhYARflxORGQgNt0,1812 Divisadero St,37.7864695,-122.4399115,2,94115,OK,street_address
ROOFTOP,"800 Clement St, San Francisco, CA 94118, USA",ChIJmydYoj2HhYAR0I8Wm-6C8Q8,800 Clement St,37.7829633,-122.4678211,2,94118,OK,street_address
ROOFTOP,"924 Sansome St, San Francisco, CA 94111, USA",ChIJxUsfg_WAhYARu6IN2FAnQy4,924 Sansome St,37.7990559,-122.402083,1,94111,OK,premise
,,,1250 Grove St 7,,,0,,ZERO_RESULTS,
ROOFTOP,"450 Post St 4th Fl, San Francisco, CA 94102, USA",EjE0dGggRmwsIDQ1MCBQb3N0IFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwMiwgVVNBIiIaIAoWChQKEgkH1y3zjoCFgBF4JYZepyXY1RIGNHRoIEZs,450 Post St 4th Fl,37.7882994,-122.4093357,1,94102,OK,subpremise
ROOFTOP,"1153 Valencia St, San Francisco, CA 94110, USA",ChIJM-NBBT9-j4AR1yySCoR_6Ps,1153 Valencia St,37.7545322,-122.4205566,2,94110,OK,premise
ROOFTOP,"721 Irving St, Denver, CO 80204, USA",ChIJgc4ZxVV_bIcRwRttDQkvieQ,721 Irving St,39.7281875,-105.0302861,2,80204,OK,premise
ROOFTOP,"2951 N 24th St, Philadelphia, PA 19132, USA",ChIJ_QHp1gm4xokRToc4jyBAn0Q,2951 24th St,40.0004379,-75.1696207,8,19132,OK,premise
ROOFTOP,"4901 Mission St, San Francisco, CA 94112, USA",ChIJvacUIIV-j4ARdjO_hiJTA_4,4901-05 Mission St,37.719897,-122.4382779,2,94112,OK,street_address
ROOFTOP,"5346 Geary Blvd, San Francisco, CA 94121, USA",ChIJVxL64hCHhYARKG4mCyGl2nU,5346 Geary Blvd,37.7807171,-122.4770739,1,94121,OK,street_address
,,,101 4th St 164,,,0,,ZERO_RESULTS,
ROOFTOP,"Four Embarcadero Center, 4 Embarcadero Center, San Francisco, CA 94111, USA",ChIJ3f_WL2GAhYARvFrWlN7Eejk,4 Embarcadero Cntr,37.7953898,-122.3961067,1,94111,OK,premise
ROOFTOP,"660 Sacramento St, San Francisco, CA 94111, USA",ChIJffyh_oqAhYARrPHuFM1C8DI,660 Sacramento St,37.793807,-122.4039637,2,94111,OK,premise
ROOFTOP,"1700 Ocean Ave, Santa Monica, CA 90401, USA",ChIJrek8l9akwoARxR1pUOusKnw,1700 Ocean Ave,34.0089738,-118.4928741,1,90401,OK,premise
ROOFTOP,"2405 Ocean Ave, San Francisco, CA 94127, USA",ChIJITqLe7h9j4ARZqP_9N8qX64,2405 Ocean Ave,37.7300095,-122.4698773,1,94127,OK,street_address
ROOFTOP,"Two Embarcadero Center, 2 Embarcadero Center, San Francisco, CA 94111, USA",ChIJuU5vB2GAhYAR6zVEBjcyh0s,2 Embarcadero Cntr Str Lvl,37.7947881,-122.3984101,1,94111,OK,premise
ROOFTOP,"Four Embarcadero Center, 4 Embarcadero Center, San Francisco, CA 94111, USA",ChIJ3f_WL2GAhYARvFrWlN7Eejk,4 Embarcadero Center St Level,37.7953898,-122.3961067,1,94111,OK,premise
