business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month
74453,TACOS CLUB,2312 MARKET ST ,San Francisco,CA,94114,,,,83.0,2017-01-10,routine,2017.0,1.0
74453,TACOS CLUB,2312 MARKET ST ,San Francisco,CA,94114,,,,83.0,2018-06-06,routine,2018.0,6.0
74065,TACOS EL FLACO,2901 03RD ST ,San Francisco,CA,94107,,,14154246731,100.0,2016-07-27,routine,2016.0,7.0
84338,TACOS EL GONDO, OFF THE GRID  ,San Francisco,CA,,,,14152185404,88.0,2016-10-07,routine,2016.0,10.0
94819,TACOS EL GONDO, OFF THE GRID  ,San Francisco,CA,,,,14152185404,,,,,
82823,TACOS EL OJO DE AGUA,551 03RD ST ,San Francisco,CA,94107,,,,,,,,
82821,TACOS EL PAISANO #2,428 11TH ST ,San Francisco,CA,94103,,,14155778318,90.0,2016-09-23,routine,2016.0,9.0
87298,TACOS EL PRIMO,2225 JENNINGS ST ,San Francisco,CA,94124,,,14154770152,96.0,2016-05-11,routine,2016.0,5.0
70849,TACOS EL TRIUNFO,319 BAYSHORE BLVD ,San Francisco,CA,94124,,,,94.0,2016-03-03,routine,2016.0,3.0
70849,TACOS EL TRIUNFO,319 BAYSHORE BLVD ,San Francisco,CA,94124,,,,77.0,2017-11-03,routine,2017.0,11.0
69275,TACOS EL TUCA,428 11TH ST ,San Francisco,CA,94103,37.769957,-122.41166799999999,,87.0,2016-08-17,routine,2016.0,8.0
39054,TACOS RODRIGUEZ,1275 EVANS AVE.,San Francisco,CA,94124,,,14154246731,91.0,2016-02-26,routine,2016.0,2.0
39054,TACOS RODRIGUEZ,1275 EVANS AVE.,San Francisco,CA,94124,,,14154246731,87.0,2017-05-19,routine,2017.0,5.0
5301,TACOS SAN BUENA,2598 HARRISON ST ,San Francisco,CA,94110,37.749851,-122.415121,14155590404,92.0,2015-10-25,routine,2015.0,10.0
5301,TACOS SAN BUENA,2598 HARRISON ST ,San Francisco,CA,94110,37.749851,-122.415121,14155590404,92.0,2016-02-01,routine,2016.0,2.0
62277,TACOS SAN BUENA, 16TH & SHOTWELL ST ,San Francisco,CA,94102,37.779847,-122.418985,14155596127,90.0,2016-04-29,routine,2016.0,4.0
18126,TACOS SAN BUENA,768 SANSOME ST ,San Francisco,CA,94111,37.797327,-122.40195700000001,14158738763,96.0,2016-05-06,routine,2016.0,5.0
5301,TACOS SAN BUENA,2598 HARRISON ST ,San Francisco,CA,94110,37.749851,-122.415121,14155590404,90.0,2017-11-17,routine,2017.0,11.0
62277,TACOS SAN BUENA, 16TH & SHOTWELL ST ,San Francisco,CA,94102,37.779847,-122.418985,14155596127,87.0,2018-02-21,routine,2018.0,2.0
57653,TACOS SAN BUENA #2,79 SANSOME ST ,San Francisco,CA,,,,14155596127,78.0,2016-05-05,routine,2016.0,5.0
57653,TACOS SAN BUENA #2,79 SANSOME ST ,San Francisco,CA,,,,14155596127,83.0,2017-07-22,routine,2017.0,7.0
57653,TACOS SAN BUENA #2,79 SANSOME ST ,San Francisco,CA,,,,14155596127,83.0,2017-10-18,routine,2017.0,10.0
91313,TACOS SANTO TORIBIO,928 TOLAND  ,San Francisco,CA,,,,14155059190,79.0,2017-11-03,routine,2017.0,11.0
3019,TAD'S,120 POWELL ST,San Francisco,CA,94102,37.785928000000006,-122.40788700000002,14159821718,92.0,2016-05-05,routine,2016.0,5.0
3019,TAD'S,120 POWELL ST,San Francisco,CA,94102,37.785928000000006,-122.40788700000002,14159821718,88.0,2017-06-09,routine,2017.0,6.0
3122,TADICH GRILL,240 CALIFORNIA ST ,San Francisco,CA,94111,37.793358000000005,-122.39944299999999,14153911849,85.0,2016-06-02,routine,2016.0,6.0
3122,TADICH GRILL,240 CALIFORNIA ST ,San Francisco,CA,94111,37.793358000000005,-122.39944299999999,14153911849,81.0,2017-01-09,routine,2017.0,1.0
3122,TADICH GRILL,240 CALIFORNIA ST ,San Francisco,CA,94111,37.793358000000005,-122.39944299999999,14153911849,87.0,2017-08-02,routine,2017.0,8.0
3122,TADICH GRILL,240 CALIFORNIA ST ,San Francisco,CA,94111,37.793358000000005,-122.39944299999999,14153911849,79.0,2018-06-07,routine,2018.0,6.0
80361,TADU ETHIOPIAN KITCHEN,484 ELLIS ST ,San Francisco,CA,,,,14152824906,100.0,2016-02-02,routine,2016.0,2.0
80361,TADU ETHIOPIAN KITCHEN,484 ELLIS ST ,San Francisco,CA,,,,14152824906,96.0,2017-02-02,routine,2017.0,2.0
80361,TADU ETHIOPIAN KITCHEN,484 ELLIS ST ,San Francisco,CA,,,,14152824906,94.0,2018-03-05,routine,2018.0,3.0
86933,TAGCK-3,799 BATTERY ST ,San Francisco,CA,94111,,,,87.0,2016-04-11,routine,2016.0,4.0
86933,TAGCK-3,799 BATTERY ST ,San Francisco,CA,94111,,,,98.0,2016-12-05,routine,2016.0,12.0
86933,TAGCK-3,799 BATTERY ST ,San Francisco,CA,94111,,,,93.0,2017-06-14,routine,2017.0,6.0
90313,TAHINI,2859 MISSION ST ,San Francisco,CA,94110,,,14152188424,96.0,2017-09-27,routine,2017.0,9.0
