,formatted_address,input_string,latitude,longitude,name,number_of_results,price_level,rating,status
173,"1999 Hyde St, San Francisco, CA 94109, USA",swensens of san francisco inc,37.7990839,-122.419181,The First Swensen's Ice Cream Store,1,1.0,4.4,OK
174,,starbucks coffee#54768/,,,,0,,,REQUEST_DENIED
175,"2527 San Bruno Ave, San Francisco, CA 94134, USA",quickly tea plus tea bar,37.7298428,-122.4044093,Five Degree Tea House,1,1.0,4.3,OK
176,"101 Spear St, San Francisco, CA 94105, USA",the organic coup,37.792549,-122.3931,The Organic Coup,1,1.0,3.7,OK
177,,homeplate boba cart,,,,0,,,ZERO_RESULTS
178,"2901 16th St, San Francisco, CA 94103, USA",irmas pampanga restaurant,37.7650469,-122.4176594,Irma's Pampanga,1,1.0,4.2,OK
179,"2500 Geary Blvd, San Francisco, CA 94115, USA",tonys cable car restaurant,37.782823,-122.4450503,Tony's Cable Car Restaurant,1,1.0,4.3,OK
180,"5169 Mission St, San Francisco, CA 94112, USA",the cake house,37.7159982,-122.4412598,Cake House,1,,5.0,OK
181,"San Francisco, CA 94105, USA",facebook inc,37.7890183,-122.3915063,Beejive Inc,1,,0.0,OK
182,"2 Pier 39, San Francisco, CA 94133, USA",swiss louis restaurant inc,37.8100636,-122.4107356,Swiss Louis Italian & Seafood Restaurant,1,2.0,3.5,OK
183,"5 Embarcadero Center, San Francisco, CA 94111, USA",crepe  curry,37.7946193,-122.3957611,Crêpe & Curry,1,,3.6,OK
184,"1736, 807 Valencia St, San Francisco, CA 94110, United States",burger joint,37.7598987,-122.4212443,Burger Joint,1,1.0,3.8,OK
185,"708 Vallejo St, San Francisco, CA 94133, USA",pho vung tau,37.7986407,-122.4091581,Vung Tau Restaurant,1,1.0,3.8,OK
186,"2331 Chestnut St, San Francisco, CA 94123, USA",chestnut st coffee roastery,37.799901,-122.4417471,Chestnut Street Coffee Roastery,1,1.0,4.3,OK
187,"3324 Steiner St, San Francisco, CA 94123, USA",isa,37.800097,-122.43757,Isa Restaurant,1,3.0,4.4,OK
188,"2506 Fillmore St, San Francisco, CA 94115, USA",jackson fillmore trattoria,37.7926856,-122.4344401,Jackson Fillmore Trattoria,1,2.0,4.4,OK
189,"901 Valencia St, San Francisco, CA 94110, USA",mixt greens/mixt,37.758422,-122.421077,Mixt,1,,4.5,OK
190,"737 Washington St, San Francisco, CA 94108, United States",grant place restaurant,37.795097,-122.406202,Grant Place Restaurant,1,2.0,3.3,OK
191,"1100 Market St, San Francisco, CA 94102, USA",san francisco proper hotel  villon,37.7808096,-122.412457,VILLON,2,3.0,4.4,OK
192,"2095 Hayes St, San Francisco, CA 94117, USA",poets cafe,37.7732482,-122.4508451,The Sacred Grounds Cafe,1,1.0,3.7,OK
193,"1 Embarcadero Center, San Francisco, CA 94111, USA",the melt,37.7944019,-122.3992911,The Melt Embarcadero,2,1.0,4.0,OK
194,"49 Stevenson St, San Francisco, CA 94105, USA",yank sing,37.7897173,-122.3994262,Yank Sing,2,3.0,4.2,OK
195,"428 11th St, San Francisco, CA 94103, USA",no no burger,37.76976860000001,-122.4120492,No No Burger,1,,4.5,OK
196,"3253 Mission St, San Francisco, CA 94110, USA",jasmine tea house,37.7447285,-122.420276,Jasmine Tea House,1,2.0,4.1,OK
197,"450 Sutter St #7, San Francisco, CA 94108, USA",sutter cafe,37.7896952,-122.4078356,Sutter Street Cafe,2,,4.6,OK
198,,bluestar refreshment servicesuber technologies inc,,,,0,,,ZERO_RESULTS
199,,bluestar refreshment servicesuber technologies inc,,,,0,,,ZERO_RESULTS
200,,soul bowlz curbside llc,,,,0,,,ZERO_RESULTS
201,"3251 20th Ave Ste 162, San Francisco, CA 94132, USA",la spot,37.727747,-122.476948,Sunglass Hut,1,3.0,3.0,OK
202,"2961 Mission St, San Francisco, CA 94110, USA",the civic kitchen,37.749751,-122.4179478,The Civic Kitchen,1,,5.0,OK
203,,foam usa llc,,,,0,,,ZERO_RESULTS
204,"2332 Clement St, San Francisco, CA 94121, USA",ppq dungeness island,37.7821624,-122.4844496,PPQ Dungeness Island,1,2.0,4.3,OK
205,"2300 Humphrey Ave, Richmond, CA 94804, USA",tacos el gondo,37.94834609999999,-122.3472862,Tacos El Chino,1,1.0,4.4,OK
206,"14 Mint Plaza, San Francisco, CA 94103, USA",bowld acai,37.7827124,-122.4080694,Bowl'd Acai,1,,4.6,OK
207,"103 Horn Ave, San Francisco, CA 94124, USA",eclectic cookery,37.7267232,-122.3656354,Eclectic Cookery,1,,4.9,OK
208,"1650 Holloway Ave, San Francisco, CA 94132, USA",crave subs,37.7223946,-122.4786143,Crave Halal Subs,1,,0.0,OK
209,"2337 Irving St, San Francisco, CA 94122, USA",lam hoa thuan restaurant,37.7631378,-122.4831763,Lam Hoa Thuan,1,1.0,4.0,OK
210,"4097 19th Ave, San Francisco, CA 94132, USA",ingleside pizza,37.7145433,-122.4700129,Ingleside Pizza,1,,3.7,OK
211,"4300 Judah St, San Francisco, CA 94122, USA",beachside 4300,37.7604374,-122.5082526,Beachside Coffee Bar & Kitchen,1,2.0,4.4,OK
212,"523 Broadway, San Francisco, CA 94133, USA",urban curry,37.7978585,-122.4059565,Urban Curry,1,2.0,4.1,OK
213,,bon appetit  airbnb,,,,0,,,ZERO_RESULTS
214,"1501 Ocean Ave, San Francisco, CA 94112, USA",lucky ocean cafe,37.7242199,-122.4583797,Lucky Ocean Cafe,1,,3.6,OK
215,"700 Clement St, San Francisco, CA 94118, USA",venus cafe,37.7829999,-122.4667697,Venus Cafe,1,,3.8,OK
216,"3459 Mission St, San Francisco, CA 94110, USA",nenas restaurant,37.7414453,-122.4223213,Nena's Restaurant,1,1.0,4.2,OK
