Analysis Neighborhood,Block Address,ZIP Code,the_geom,Buyout Agreement Date,Buyout Amount,Number of Tenants
Mission,2800 Block of 16th Street,94103,"(37.765271085034, -122.416942308086)",3/23/18,"$20,833.34 ",8
Presidio Heights,2900 Block of Pine Street,94115,"(37.786640145627, -122.444395104285)",3/27/18,"$18,500.00 ",2
Outer Richmond,400 Block of 32nd Avenue,94121,"(37.780715024077, -122.492234634884)",4/3/18,"$20,000.00 ",2
West of Twin Peaks,700 Block of Foerster Street,94127,"(37.735092193187, -122.448959925034)",5/14/18,"$29,000.00 ",2
Mission,2700 Block of Folsom Street,94110,"(37.753298447583, -122.41422876374)",4/16/18,"$40,000.00 ",1
Oceanview/Merced/Ingleside,2600 Block of San Jose Avenue,94112,"(37.714823971195, -122.451612665124)",4/18/18,"$15,000.00 ",3
Sunset/Parkside,1900 Block of Vicente Street,94116,"(37.738836185359, -122.48775570445)",4/18/18,"$30,000.00 ",2
Inner Richmond,4400 Block of California Street,94118,"(37.784977420195, -122.465113708387)",4/18/18,"$60,000.00 ",4
Western Addition,1800 Block of Golden Gate Avenue,94115,"(37.77835128794, -122.441028449051)",4/20/18,"$17,857.50 ",2
Haight Ashbury,100 Block of Divisadero Street,94117,"(37.769663479461, -122.436786988525)",4/23/18,"$41,326.70 ",1
Haight Ashbury,0 Block of Belvedere Street,94117,"(37.769186567672, -122.449617927125)",5/21/18,"$7,000.00 ",2
Bernal Heights,300 Block of Crescent Avenue,94110,"(37.734912815443, -122.41841622049)",5/3/18,"$5,000.00 ",4
Potrero Hill,300 Block of Connecticut Street,94107,"(37.761877521476, -122.397502364174)",5/31/18,"$30,000.00 ",2
Portola,800 Block of Colby Street,94134,"(37.719904590662, -122.410309432492)",5/24/18,"$60,455.89 ",6
Haight Ashbury,0 Block of Carmelita Street,94117,"(37.770222127214, -122.434389432093)",5/21/18,"$22,103.00 ",1
Chinatown,700 Block of Green Street,94133,"(37.799198389217, -122.411030881491)",5/25/18,"$10,085.48 ",1
Noe Valley,1500 Block of Church Street,94131,"(37.74569488925, -122.426925757836)",5/14/18,"$55,845.06 ",1
Noe Valley,1500 Block of Church Street,94131,"(37.74569488925, -122.426925757836)",5/14/18,"$63,824.09 ",1
Pacific Heights,2500 Block of Pine Street,94115,"(37.787482951745, -122.43776937093)",5/15/18,"$12,562.00 ",2
Noe Valley,1500 Block of Church Street,94131,"(37.74569488925, -122.426925757836)",5/14/18,"$76,930.86 ",1
Mission,1300 Block of Stevenson Street,94103,"(37.770783954072, -122.421596103325)",5/16/18,"$66,352.50 ",1
Russian Hill,0 Block of White Street,94109,"(37.797535489359, -122.419628451838)",5/16/18,"$75,000.00 ",1
Russian Hill,0 Block of White Street,94109,"(37.797535489359, -122.419628451838)",5/16/18,"$75,000.00 ",1
Potrero Hill,500 Block of Vermont Street,94107,"(37.762751084961, -122.404246233894)",5/21/18,"$44,375.00 ",1
Castro/Upper Market,0 Block of Noe Street,94114,"(37.768324129442, -122.433421237904)",5/24/18,"$8,000.00 ",1
Marina,2400 Block of Van Ness Avenue,94109,"(37.798062779246, -122.424058424348)",5/23/18,"$7,500.00 ",1
West of Twin Peaks,0 Block of San Jacinto Way,94112,"(37.733571580616, -122.462894202958)",5/31/18,,2
Outer Richmond,700 Block of 39th Avenue,94121,"(37.774681208483, -122.499455921764)",6/1/18,"$40,000.00 ",3
Potrero Hill,800 Block of Hampshire Street,94110,"(37.758512199688, -122.407761340035)",6/1/18,"$35,000.00 ",2
Outer Mission,100 Block of Whipple Avenue,94112,"(37.711938951018, -122.449058968785)",5/31/18,"$6,000.00 ",2
Bernal Heights,0 Block of Mirabel Avenue,94110,"(37.746419665863, -122.416456065789)",5/25/18,"$40,000.00 ",2
Potrero Hill,800 Block of Hampshire Street,94110,"(37.758512199688, -122.407761340035)",6/1/18,"$30,000.00 ",1
Nob Hill,1500 Block of Clay Street,94109,"(37.792591737576, -122.418978233126)",5/25/18,"$25,000.00 ",1
Inner Sunset,200 Block of Lincoln Way,94122,"(37.766087774671, -122.460552723843)",6/1/18,"$50,000.00 ",2
Marina,3100 Block of Broderick Street,94123,"(37.799269149914, -122.444485650217)",5/16/18,"$73,000.00 ",1
West of Twin Peaks,300 Block of Melrose Avenue,94127,"(37.73385778046, -122.45080878137)",6/1/18,"$15,000.00 ",2
Mission,300 Block of San Jose Avenue,94110,"(37.749410617795, -122.421268720739)",6/5/18,"$17,964.80 ",3
Castro/Upper Market,500 Block of Sanchez Street,94114,"(37.759953213929, -122.430527671896)",6/5/18,"$50,000.00 ",2
West of Twin Peaks,400 Block of Monterey Boulevard,94127,"(37.731460360191, -122.445444120329)",6/5/18,"$26,000.00 ",1
Mission,1300 Block of Stevenson Street,94103,"(37.770783954072, -122.421596103325)",6/5/18,"$16,544.83 ",1
Mission,1300 Block of Stevenson Street,94103,"(37.770783954072, -122.421596103325)",6/26/18,"$53,043.02 ",1
Hayes Valley,300 Block of Oak Street,94102,"(37.774657577406, -122.425001400547)",6/20/18,"$34,500.00 ",3
Hayes Valley,100 Block of Buchanan Street,94102,"(37.771117695122, -122.426943513662)",6/8/18,"$65,000.00 ",2
Inner Sunset,1900 Block of 19th Avenue,94116,"(37.751450977182, -122.476097323226)",6/13/18,"$51,702.00 ",7
Castro/Upper Market,400 Block of Sanchez Street,94114,"(37.761550773582, -122.430680859121)",6/8/18,"$25,000.00 ",1
Castro/Upper Market,500 Block of Roosevelt Way,94114,"(37.762842125963, -122.444152293526)",6/20/18,"$11,046.00 ",1
Inner Sunset,200 Block of Lincoln Way,94122,"(37.766087774671, -122.460552723843)",6/13/18,"$50,000.00 ",2
Outer Richmond,500 Block of 14th Avenue,94118,"(37.777770723339, -122.472709157378)",6/18/18,"$10,000.00 ",1
Inner Sunset,200 Block of Lincoln Way,94122,"(37.766087774671, -122.460552723843)",6/13/18,"$50,000.00 ",1
Excelsior,100 Block of Maynard Street,94112,"(37.729395149487, -122.427150965565)",6/15/18,"$15,000.00 ",1
Excelsior,700 Block of London Street,94112,"(37.717566793874, -122.439265185137)",6/13/18,"$18,000.00 ",13
Inner Sunset,1400 Block of 6th Avenue,94122,"(37.761387052056, -122.462837875916)",6/14/18,"$24,750.00 ",1
Inner Sunset,300 Block of Warren Drive,94131,"(37.75560076511, -122.461276177486)",6/6/18,"$8,000.00 ",1
Sunset/Parkside,1800 Block of 43rd Avenue,94122,"(37.752176047911, -122.502056597415)",6/11/18,"$32,000.00 ",2
Bayview Hunters Point,200 Block of Topeka Avenue,94124,"(37.732909624544, -122.397333577958)",6/25/18,"$50,800.00 ",2
Lone Mountain/USF,100 Block of Wood Street,94112,"(37.781521038792, -122.448987653708)",6/22/18,"$28,400.00 ",1
Outer Richmond,400 Block of 14th Avenue,94118,"(37.779664252579, -122.47284533062)",6/21/18,"$91,337.50 ",2
Mission,300 Block of San Carlos Street,94110,"(37.757782308163, -122.419834201322)",6/20/18,"$20,704.00 ",2
Sunset/Parkside,1200 Block of 31st Avenue,94122,"(37.763934852423, -122.490119149109)",6/21/18,"$10,000.00 ",1
Glen Park,5500 Block of Diamond Heights Boulevard,94131,"(37.739404355618, -122.436142605071)",6/22/18,"$30,000.00 ",3
West of Twin Peaks,500 Block of Flood Avenue,94112,"(37.729924209496, -122.451788993091)",6/26/18,"$7,000.00 ",1
Castro/Upper Market,100 Block of Dolores Street,94103,"(37.766662941968, -122.426732392162)",6/26/18,"$29,692.82 ",1
West of Twin Peaks,0 Block of Vasquez Avenue,94127,"(37.746205238949, -122.457428389584)",6/27/18,"$64,077.78 ",2
Glen Park,300 Block of Chenery Street,94131,"(37.73675839005, -122.428298414334)",6/28/18,"$60,000.00 ",2
Mission,2900 Block of 24th Street,94110,"(37.752766727138, -122.410519782447)",6/27/18,"$80,000.00 ",4
Marina,2000 Block of Green Street,94123,"(37.796524939147, -122.432847820606)",6/26/18,"$15,000.00 ",1
West of Twin Peaks,500 Block of Flood Avenue,94112,"(37.729924209496, -122.451788993091)",7/11/18,"$8,000.00 ",1
Haight Ashbury,0 Block of Carl Street,94117,"(37.765881896452, -122.448879988045)",6/29/18,"$60,000.00 ",1
Noe Valley,300 Block of Day Street,94131,"(37.742752358201, -122.429919189971)",6/27/18,$0.00 ,1
Castro/Upper Market,100 Block of Dolores Street,94103,"(37.766662941968, -122.426732392162)",6/26/18,"$28,155.68 ",1
Inner Richmond,700 Block of 6th Avenue,94118,"(37.774499665807, -122.463743281943)",6/28/18,"$90,000.00 ",2
Castro/Upper Market,100 Block of Dolores Street,94103,"(37.766662941968, -122.426732392162)",6/26/18,"$29,799.72 ",1
Presidio Heights,100 Block of Arguello Boulevard,94118,"(37.786772141512, -122.459198581384)",7/3/18,"$20,000.00 ",2
Glen Park,300 Block of Chenery Street,94131,"(37.736843385827, -122.428386049264)",7/5/18,"$70,000.00 ",2
Castro/Upper Market,100 Block of Corbett Avenue,94114,"(37.761729335305, -122.441959303136)",7/5/18,"$87,030.28 ",2
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",2
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.66 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.66 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",3
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.66 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.66 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",2
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.66 ",2
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",1
Tenderloin,0 Block of Mason Street,94102,"(37.783806663499, -122.409129633699)",7/10/18,"$206,666.67 ",2
Excelsior,500 Block of London Street,94112,"(37.720457745585, -122.437030988136)",7/12/18,"$18,000.00 ",2
Potrero Hill,900 Block of De Haro Street,94107,"(37.757654280888, -122.400983643574)",7/19/18,"$5,000.00 ",1
Oceanview/Merced/Ingleside,300 Block of Vernon Street,94132,"(37.718782406415, -122.468113421032)",7/16/18,"$39,400.00 ",2
Lone Mountain/USF,1800 Block of Mcallister Street,94115,"(37.777214631702, -122.442488679774)",7/13/18,"$74,849.24 ",2
Pacific Heights,2200 Block of Jackson Street,94115,"(37.792838525479, -122.432101129469)",7/17/18,"$1,500.00 ",2
Mission,400 Block of 14th Street,94103,"(37.768127829554, -122.423310669038)",7/23/18,"$85,000.00 ",2
Bayview Hunters Point,1600 Block of La Salle Avenue,94124,"(37.736870886438, -122.389218535071)",7/23/18,"$25,000.00 ",2
Lincoln Park,0 Block of Seal Rock Drive,94121,"(37.780814166764, -122.507057949097)",7/5/18,"$29,800.00 ",2
Inner Sunset,1300 Block of 5th Avenue,94122,"(37.76329075214, -122.462034637508)",7/9/18,"$45,000.00 ",2
Tenderloin,400 Block of Eddy Street,94109,"(37.783565475901, -122.415051136713)",7/18/18,"$3,000.00 ",1
Outer Mission,900 Block of Huron Avenue,94112,"(37.709737727041, -122.45262614821)",7/6/18,"$32,000.00 ",1
Inner Sunset,1300 Block of 5th Avenue,94122,"(37.76329075214, -122.462034637508)",7/9/18,"$72,400.00 ",3
Excelsior,600 Block of Lisbon Street,94112,"(37.71814145627, -122.436605128128)",7/19/18,"$1,000.00 ",1
Mission,3000 Block of Mission Street,94110,"(37.748595439637, -122.418024677549)",7/5/18,"$20,000.00 ",2
Presidio Heights,0 Block of Palm Avenue,94118,"(37.784846190028, -122.458061463416)",7/9/18,"$45,000.00 ",1
Noe Valley,1400 Block of Church Street,94131,"(37.747300418558, -122.426937897423)",9/1/15,"$75,000.00 ",1
Inner Sunset,2000 Block of 18th Avenue,94116,"(37.749621666392, -122.475150816901)",9/15/15,"$19,650.00 ",2
Lone Mountain/USF,2300 Block of Ofarrell Street,94115,"(37.781920588776, -122.442698546741)",11/9/15,"$5,000.00 ",1
Outer Richmond,64396400 Block of California Street,94121,"(37.783754616521, -122.486615769744)",3/28/16,"$55,000.00 ",2
Nob Hill,1200 Block of Polk Street,94109,"(37.787980961919, -122.420231590326)",2/17/16,"$5,000.00 ",2
Outer Richmond,500 Block of 40th Avenue,94121,"(37.778389513157, -122.500800305072)",6/1/16,"$60,000.00 ",3
Mission,1800 Block of 15th Street,94103,"(37.766322531418, -122.424723870636)",7/11/17,"$99,196.74 ",1
Noe Valley,700 Block of Douglass Street,94114,"(37.75222428856, -122.438658355622)",11/8/17,"$50,908.00 ",1
Noe Valley,4200 Block of 22nd Street,94114,"(37.754251582703, -122.439322710732)",1/6/17,"$17,670.00 ",2
Bernal Heights,1500 Block of Treat Avenue,94110,"(37.745699394187, -122.412369238773)",1/20/17,"$40,000.00 ",2
Excelsior,300 Block of Rolph Street,94112,"(37.713160429888, -122.435633085744)",7/20/17,"$30,000.00 ",4
Excelsior,700 Block of Athens Street,94112,"(37.716171560796, -122.432481963993)",4/12/17,"$9,960.00 ",2
Potrero Hill,500 Block of Pennsylvania Avenue,94107,"(37.758922223731, -122.393312667684)",11/3/17,"$20,000.00 ",1
Inner Richmond,0 Block of 12th Avenue,94118,"(37.786541664474, -122.471056423551)",8/21/17,"$68,000.00 ",2
Haight Ashbury,900 Block of Stanyan Street,94117,"(37.765917184008, -122.452784413206)",1/29/18,"$50,000.00 ",1
Noe Valley,800 Block of Sanchez Street,94114,"(37.755962291218, -122.430007625298)",3/6/18,"$24,349.00 ",1
Mission,2900 Block of Mission Street,94110,"(37.74984462225, -122.418142583157)",2/12/18,"$11,200.00 ",4
Haight Ashbury,1700 Block of Haight Street,94117,"(37.769398123479, -122.45127697689)",7/10/15,"$26,300.00 ",4
Inner Sunset,1400 Block of 16th Avenue,94122,"(37.76090523181, -122.47378667011)",10/11/16,"$75,000.00 ",2
Haight Ashbury,700 Block of Page Street,94117,"(37.772670546881, -122.433090198531)",8/9/16,"$90,000.00 ",2
Bernal Heights,100 Block of Cortland Avenue,94110,"(37.740053810886, -122.420597203777)",8/9/16,"$45,200.00 ",2
Nob Hill,1100 Block of Pacific Avenue,94133,"(37.795971981242, -122.41381099252)",8/22/16,"$67,622.80 ",1
Bernal Heights,0 Block of College Terrace,94112,"(37.734597981874, -122.426168703889)",9/21/16,"$15,000.00 ",1
Outer Richmond,400 Block of 22nd Avenue,94121,"(37.779271704668, -122.481379084993)",12/21/16,"$35,000.00 ",2
Outer Richmond,3500 Block of Anza Street,94121,"(37.778038158697, -122.486198515542)",2/6/17,"$45,000.00 ",1
Inner Richmond,300 Block of 5th Avenue,94118,"(37.782032855429, -122.463211510027)",6/28/17,"$27,333.35 ",1
Castro/Upper Market,500 Block of Castro Street,94114,"(37.76008505575, -122.43499619348)",10/12/17,"$41,225.00 ",1
