,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
772,ROOFTOP,"2032 Union St, San Francisco, CA 94123, USA",ChIJj3CD3tqAhYARWnrEl7VggUc,"2032 union st, San Francisco, CA, 94123",37.7975533,-122.4329043,1,94123,OK,premise
773,ROOFTOP,"701 Union St, San Francisco, CA 94133, USA",ChIJE47EuPGAhYAR9EosGx3Y7SY,"701 union st, San Francisco, CA, 94133",37.8000413,-122.4110437,1,94133,OK,premise
774,ROOFTOP,"500, 115 Sansome St, San Francisco, CA 94104, USA",ChIJ4T1rD2KAhYARO3rwfQotV9A,"115 sansome st, San Francisco, CA, 94104",37.7914251,-122.4010378,1,94104,OK,street_address
775,ROOFTOP,"674 Broadway, San Francisco, CA 94133, USA",ChIJH9hulPOAhYARqP4SOv31WIU,"674 broadway st, San Francisco, CA, 94133",37.797814,-122.408194,1,94133,OK,street_address
776,ROOFTOP,"1030 Irving St, San Francisco, CA 94122, USA",ChIJ3djRfl2HhYARpT1BszoGI1w,"1030 irving st, San Francisco, CA, 94122",37.7641299,-122.4690813,1,94122,OK,premise
777,ROOFTOP,"580 Geary St, San Francisco, CA 94102, USA",ChIJTRDB3pGAhYARH_XgPk1pEOE,"580 geary st, San Francsico, CA, 94102",37.7869422,-122.4129982,1,94102,OK,street_address
778,ROOFTOP,"505 Howard St, San Francisco, CA 94105, USA",ChIJsRQWpHyAhYARvuX_FOv47bU,"505 howard st, San Francisco, CA, 94105",37.7879493,-122.3961974,1,94105,OK,premise
779,ROOFTOP,"1015 Folsom St, San Francisco, CA 94103, USA",ChIJRwXhl4GAhYARKMdYXvUW1m8,"2341 folsom st, San Francisco, CA, 9411",37.7781268,-122.405787,1,94103,OK,"bar,establishment,night_club,point_of_interest"
780,ROOFTOP,"716 Columbus Ave, San Francisco, CA 94133, USA",ChIJiQqfPfCAhYARztumJiIH_ps,"716 columbus ave, San Francisco, CA, 94133",37.8016469,-122.4117828,1,94133,OK,street_address
781,ROOFTOP,"Four Embarcadero Center, 4 Embarcadero Center, San Francisco, CA 94111, USA",ChIJ3f_WL2GAhYARvFrWlN7Eejk,"4 embarcadero ctr 1, San+francisco, CA, 94111",37.7953898,-122.3961067,1,94111,OK,premise
782,ROOFTOP,"1506 Fillmore St, San Francisco, CA 94115, USA",ChIJQYA7oLmAhYAR_aB4amCHGAY,"1506 fillmore st, San Francisco, CA, 94115",37.7835439,-122.4324355,1,94115,OK,street_address
783,ROOFTOP,"1958 Polk St, San Francisco, CA 94109, USA",ChIJPSq1MuqAhYARFfiBADWyRzA,"1958 polk st, San Francisco, CA, 94109",37.7947217,-122.4213591,1,94109,OK,street_address
784,ROOFTOP,"1343 Powell St, San Francisco, CA 94133, USA",ChIJ70BLTvKAhYARN33EvAVIMKM,"1343 powell st, San Francisco, CA, 94133",37.7969894,-122.4104611,1,94133,OK,premise
785,ROOFTOP,"1750 Divisadero St, San Francisco, CA 94115, USA",ChIJK1_q6smAhYARRVyAmCtvXw0,"1750 divisadero st, San Francisco, CA, 94115",37.7860476,-122.439779,1,94115,OK,premise
786,ROOFTOP,"5672 Mission St, San Francisco, CA 94112, USA",ChIJd2tmzCB8j4ARKtPKglmhLQU,"5672 mission st, San Francisco, CA, 94112",37.7105031,-122.4485263,1,94112,OK,premise
787,ROOFTOP,"2205 Lombard St, San Francisco, CA 94123, USA",ChIJc2iZ1tCAhYARrLYK101bw_Q,"2205 lombard st, San Francisco, CA, 94123",37.7994372,-122.4378981,1,94123,OK,street_address
788,ROOFTOP,"2289 3rd St, San Francisco, CA 94107, USA",ChIJ13vKSLh_j4ARcakpLRjw6IQ,"2289 3rd st, San Francisco, CA, 94107",37.7607156,-122.3883381,1,94107,OK,street_address
789,ROOFTOP,"2165 Union St, San Francisco, CA 94123, USA",ChIJWcrrotqAhYARJMZR7DM0-_4,"2165 union st, San Francisco, CA, 94123",37.7970381,-122.4348873,1,94123,OK,street_address
790,ROOFTOP,"433 Kearny St, San Francisco, CA 94108, USA",ChIJqxwgyIuAhYARZr-t7Pq7f2E,"433 kearny st, San Francisco, CA, 94108",37.792116,-122.4045611,1,94108,OK,premise
791,ROOFTOP,"1 Pagoda Pl, San Francisco, CA 94108, USA",ChIJYwu7noyAhYARTq28FYaREXQ,"1 pagoda pl, San Francisco, CA, 94108",37.7933928,-122.4075003,1,94108,OK,street_address
792,ROOFTOP,"370 14th St, San Francisco, CA 94103, USA",ChIJNbKsuiF-j4ARXd3wVmxGzLs,"370 14th st, San Francisco, CA, 94103",37.7683279,-122.4216406,1,94103,OK,premise
793,ROOFTOP,"1590 Bryant St, San Francisco, CA 94103, USA",ChIJz8RiHtqGhYAR4b20-3QuXCc,"2887 bryant st, San Francisco, CA, 9411",37.767095,-122.4109093,1,94103,OK,"bicycle_store,establishment,point_of_interest,shoe_store,store"
794,ROOFTOP,"2101 Ingalls St, San Francisco, CA 94124, USA",ChIJZYZZMBZ_j4ARaRTZJo0w7h0,"2101 ingalls st, San Francisco, CA, 94124",37.7256882,-122.3866601,1,94124,OK,premise
795,ROOFTOP,"547 Hyde St, San Francisco, CA 94109, USA",ChIJvZ6pbJGAhYARyVGx8_MT6C4,"547 hyde st, San Francisco, CA, 94109",37.7860617,-122.416602,1,94109,OK,street_address
796,ROOFTOP,"298 Pacific Ave, San Francisco, CA 94111, USA",ChIJ_0IR8l-AhYARUelEBMKIVuM,"298 pacific ave, San Francisco, CA, 94111",37.7978382,-122.4007776,1,94111,OK,premise
797,ROOFTOP,"298 Pacific Ave, San Francisco, CA 94111, USA",ChIJ_0IR8l-AhYARUelEBMKIVuM,"298 pacific, San Francisco, CA, 94111",37.7978382,-122.4007776,1,94111,OK,premise
798,ROOFTOP,"298 Pacific Ave, San Francisco, CA 94111, USA",ChIJ_0IR8l-AhYARUelEBMKIVuM,"298 pacific, San+francisco, CA, 94111",37.7978382,-122.4007776,1,94111,OK,premise
799,ROOFTOP,"262 Divisadero St, San Francisco, CA 94117, USA",ChIJ70ZkNa-AhYARwG-0GqC0JEI,"262 divisadero st, San Francisco, CA, 94107",37.7716078,-122.4368614,1,94117,OK,street_address
800,ROOFTOP,"308 Columbus Ave, San Francisco, CA 94133, USA",ChIJiarWdvSAhYAR_aSl8MHihTU,"308 columbus ave, San Francisco, CA, 94133",37.79815869999999,-122.406826,1,94133,OK,street_address
801,ROOFTOP,"2541 San Bruno Ave, San Francisco, CA 94134, USA",ChIJt7v4J_1-j4AR1HluGw7PCQg,"2541 san bruno ave, San Francisco, CA, 94134",37.7297292,-122.4042473,1,94134,OK,premise
802,ROOFTOP,"59 Columbus Ave, San Francisco, CA 94111, USA",ChIJ39by1vSAhYARRAvTUT-rF4Q,"59 columbus ave, San Francisco, CA, 94111",37.7961304,-122.4044626,1,94111,OK,street_address
