business_name,lic_code,business_start_date,business_end_date,Lifespan,closed,age_if_opened,full_address,business_id,name,MA,year,lati,longi
jacks bar,Places Of Public Assembly & Open-Air Assembly,04/01/1998,,,no,7427.0,"2801 leavenworth st j31-32, San Francisco, CA, 94133",3325,jacks cannery,89.5,2017.0,37.807155,-122.419004
sushi shoh,,04/26/2018,,,no,97.0,"406 dewey blvd, San Francisco, CA, 94116",96577,sushi shoh,92.0,2018.0,37.7474148,-122.4595907
peaches patties llc,,06/01/2018,,,no,61.0,"2948 folsom st, San Francisco, CA, 9411",89512,peaches patties,100.0,2018.0,37.7501803,-122.4140972
peaches patties llc,,06/01/2018,,,no,61.0,"331 cortland ave, San Francisco, CA, 9411",89511,peaches patties,100.0,2018.0,37.739360600000005,-122.41800220000002
toppu ramen  dim sum house,"Restaurant 1,000 - 2,000 Sqft",01/17/2018,,,no,196.0,"941 kearny st, San Francisco, CA, 94133",95363,toppu ramen  dim sum house,94.0,2018.0,37.79667979999999,-122.4054378
poke bar,,01/01/2018,,,no,212.0,"555 california st concours, San Francisco, CA, 94104",94503,poke bar,86.0,2018.0,37.792062,-122.4037148
academy of arts univ,"Restaurant Greater Than 2,000 Sqft",11/18/2002,,,no,5735.0,"860 sutter st, San Francisco, CA, 94102",2920,academy of arts univ i house cafe,98.0,2018.0,37.788498,-122.41451399999998
the cheese school,,03/13/2014,,,no,1602.0,"900 north point st k201, San Francisco, CA, 94109",89545,the pub,84.5,2018.0,37.8058745,-122.42295349999999
peoples bistro,"Restaurant 1,000 - 2,000 Sqft",06/01/2017,,,no,426.0,"1419 haight st, San Francisco, CA, 94117",94710,peoples bistro,73.5,2018.0,37.770000700000004,-122.44578259999999
academy of arts univ,Multiple,11/18/2002,,,no,5735.0,"1055 pine st, San Francisco, CA, 94109",2929,academy of arts university,96.0,2018.0,37.790523,-122.41315800000001
the meatball bar,"Restaurant 1,000 - 2,000 Sqft",01/01/2018,,,no,212.0,"602 hayes st, San Francisco, CA, 94104",94729,the meatball bar,95.5,2018.0,37.7767801,-122.42659579999999
my canh restaurant,,01/01/2018,,,no,212.0,"626 broadway st, San Francisco, CA, 94133",442,my canh restaurant,86.5,2018.0,37.797828,-122.407474
cc san francisco centre emporium,"Restaurant Less Than 1,000 Sqft",08/23/2014,,,no,1439.0,"845 market st, San Francisco, CA, 94103",94813,cc san francisco centre emporium,90.0,2018.0,37.784219,-122.406176
broadway coffee bros llc,"Restaurant Less Than 1,000 Sqft",05/03/2018,,,no,90.0,"900 north point, San Francisco, CA, 94109",96537,broadway coffee bros llc,96.0,2018.0,37.8058745,-122.42295349999999
lapisara eatery,,01/23/2018,01/23/2018,0.0,yes,,"698 post st, San Francicso, CA, 94109",94578,lapisara eatery,100.0,2018.0,37.7878433,-122.41318030000001
the cheese steak shop,"Restaurant 1,000 - 2,000 Sqft",01/23/2018,,,no,190.0,"1716 divisadero st, San Francisco, CA, 94115",94703,the cheese steak shop,89.0,2018.0,37.7855481,-122.43979840000002
bernal heights pizzeria,"Restaurant 1,000 - 2,000 Sqft",01/01/2015,,,no,1308.0,"59 30th st, San Francisco, CA, 9411",87802,bernal heights pizzeria,96.0,2018.0,37.7421991,-122.4231362
easy breezy frozen yogurt,"Restaurant 1,000 - 2,000 Sqft",04/20/2012,,,no,2294.0,"44 west portal ave, San Francisco, CA, 94127",94555,easy breezy frozen yogurt,97.0,2018.0,37.740463399999996,-122.46654950000001
la canasta produce,Retail Food Market W/food Prep. Lt 5001 Sqft,01/25/2018,,,no,188.0,"2097 mission st, San Francisco, CA, 9411",94702,la canasta produce,92.0,2018.0,37.7635034,-122.41932720000001
san marcos restaurante,"Restaurant 1,000 - 2,000 Sqft",01/25/2018,,,no,188.0,"98 leland ave, San Francisco, CA, 94134",95400,san marcos restaurante,90.0,2018.0,37.712002000000005,-122.405456
poke fusion,"Restaurant Less Than 1,000 Sqft",04/21/2015,,,no,1198.0,"112 waverly pl, San Francisco, CA, 94108",84795,poke fusion,100.0,2017.0,37.794477,-122.40674299999999
dmaize cafe,Multiple,12/24/2015,,,no,951.0,"11 phelan ave rm 398, San Francisco, CA, 94112",94544,dmaize cafe,94.0,2018.0,37.7233708,-122.45249950000002
bake cheese tart,Take-Out Establishment,07/01/2017,,,no,396.0,"845 market st ste 16, San Francisco, CA, 94103",95455,bake cheese tart,96.0,2018.0,37.784219,-122.406176
cafe bastille,Multiple,08/01/1990,,,no,10227.0,"22 belden pl, San+francisco, CA, 94104",1837,cafe bastille,81.0,2017.0,37.791139,-122.40371599999999
epic bites catering,Caterer,01/01/2018,,,no,212.0,"1851 noriega st, San Francisco, CA, 94122",93546,epic bites catering,100.0,2018.0,37.7536495,-122.4838289
happy donuts,,01/12/2018,,,no,201.0,"3801 24th st, San Francisco, CA, 94114",77520,happy donuts,92.5,2018.0,37.751611600000004,-122.42760220000001
creperie saint germain,Catering Facility,10/01/2016,,,no,669.0,"1750 cesar chavez  ste d, San+francisco, CA, 94124",94769,creperie st germain,99.0,2018.0,37.750858,-122.394103
casa de la condesa,,01/31/2018,,,no,182.0,"2763 mission st, San Francisco, CA, 9411",94848,casa de la condesa restaurant,89.0,2018.0,37.752936600000005,-122.4183344
hotel san francisco,Multiple,09/28/2017,,,no,307.0,"653 commercial st, San Francisco, CA, 94111",94701,hotel san francisco,100.0,2018.0,37.7939831,-122.40387520000002
memphis minnies bbq joint,,05/01/2018,,,no,92.0,"576 haight st, San Francisco, CA, 94117",2387,memphis minnies bbq joint,88.0,2018.0,37.771978000000004,-122.43165400000001
