"business_id","score","date","type"
1454,"100","20170215","routine"
1454,"94","20160616","routine"
1465,"87","20170802","routine"
1465,"94","20160531","routine"
1466,"98","20160815","routine"
1466,"100","20180622","routine"
1466,"100","20180119","routine"
1469,"100","20160502","routine"
1469,"98","20161128","routine"
1469,"100","20180716","routine"
1469,"98","20171020","routine"
1482,"90","20160309","routine"
1482,"74","20170208","routine"
1486,"98","20170913","routine"
1486,"100","20180718","routine"
1487,"100","20180612","routine"
1487,"90","20180125","routine"
1487,"96","20161221","routine"
1487,"83","20151016","routine"
1493,"100","20170809","routine"
1493,"92","20160331","routine"
1496,"91","20170616","routine"
1505,"96","20171017","routine"
1505,"96","20151005","routine"
1505,"100","20160822","routine"
1508,"88","20160601","routine"
1508,"90","20180220","routine"
1508,"93","20170814","routine"
1508,"84","20150813","routine"
1509,"92","20180417","routine"
1509,"90","20161109","routine"
1520,"100","20170118","routine"
1520,"100","20150730","routine"
1520,"100","20171108","routine"
1526,"80","20160719","routine"
1526,"85","20170504","routine"
1527,"84","20170815","routine"
1527,"90","20180509","routine"
1529,"98","20170518","routine"
1529,"98","20180109","routine"
1532,"91","20160524","routine"
1532,"96","20170606","routine"
1534,"88","20161122","routine"
1542,"83","20170705","routine"
1542,"87","20180406","routine"
1544,"98","20160311","routine"
1544,"100","20161005","routine"
1544,"98","20171101","routine"
1549,"89","20170912","routine"
1549,"83","20160205","routine"
1549,"92","20161031","routine"
1555,"92","20170626","routine"
1555,"100","20160311","routine"
1564,"98","20160819","routine"
1564,"100","20170822","routine"
1565,"79","20160826","routine"
1565,"94","20170307","routine"
1565,"88","20180606","routine"
1566,"80","20160301","routine"
1566,"85","20180523","routine"
1566,"79","20170918","routine"
1566,"85","20160705","routine"
1567,"87","20160419","routine"
1568,"88","20160205","routine"
1568,"92","20170208","routine"
1568,"90","20180405","routine"
1571,"85","20160413","routine"
1571,"90","20180613","routine"
1571,"86","20170214","routine"
1579,"90","20170113","routine"
1579,"92","20171211","routine"
1579,"88","20160615","routine"
1582,"83","20160426","routine"
1582,"79","20171128","routine"
1584,"86","20160818","routine"
1584,"77","20170824","routine"
1584,"87","20180322","routine"
1594,"73","20171113","routine"
1594,"76","20160921","routine"
1595,"92","20171214","routine"
1595,"94","20160720","routine"
1596,"88","20151019","routine"
1596,"96","20171201","routine"
1598,"80","20170417","routine"
1598,"85","20171027","routine"
1598,"90","20160505","routine"
1608,"94","20161209","routine"
1608,"92","20171102","routine"
1608,"92","20160622","routine"
1609,"83","20160328","routine"
1609,"76","20180425","routine"
1609,"72","20170705","routine"
1613,"76","20180426","routine"
1613,"85","20170808","routine"
1614,"100","20150824","routine"
1614,"100","20161209","routine"
1614,"94","20171107","routine"
